,movieId,tag,dark,funny,ferell
1232,945,Astaire,5,7,7
1232,945,and,3,4,6
1232,945,Rogers,5,6,5
1233,947,butler,6,5,6
1234,947,homeless,8,8,6
1235,947,screwball,8,9,5
1236,948,oil,4,5,5
1237,950,Nick,3,5,6
1237,950,and,3,4,6
1237,950,Nora,3,5,5
1237,950,Charles,5,7,6
1238,951,Screwball,8,9,5
1239,952,race,3,5,5
1240,953,Christmas,8,9,8
1241,954,Politics,8,8,8
1242,955,leopard,5,7,6
1243,955,screwball,8,9,5
1244,956,adoption,7,8,8
1245,965,fugitive,8,6,7
1246,968,zombies,7,7,7
1247,969,missionary,8,8,10
1248,970,crime,5,5,5
1249,971,Tennessee,9,7,7
1249,971,Williams,7,8,8
1250,973,journalism,9,8,8
1251,976,Hemingway,9,7,8
1252,986,Animal,6,6,5
1252,986,movie,5,5,6
1253,991,Ireland,6,6,5
1254,994,food,4,4,5
1255,1006,death,3,5,5
1255,1006,penalty,6,5,5
1256,1006,John,4,4,6
1256,1006,Grisham,7,7,7
1257,1010,Disney,6,4,6
1258,1010,race,3,5,5
1259,1013,twins,5,4,6
1260,1022,Disney,6,4,6
1261,1025,Disney,6,4,6
1262,1025,King,4,4,6
1262,1025,Arthur,6,6,6
1263,1028,Disney,6,4,6
1264,1028,nanny,4,2,6
1265,1029,Disney,6,4,6
1266,1030,Disney,6,4,6
1267,1032,Disney,6,4,6
1268,1033,Disney,6,4,6
1269,1035,Rogers,5,6,5
1269,1035,and,3,4,6
1269,1035,Hammerstein,9,11,8
1270,1041,In,4,4,6
1270,1041,Netflix,7,7,5
1270,1041,queue,5,4,5
1271,1042,Music,5,4,6
1272,1059,Shakespeare,9,11,9
1273,1066,Astaire,5,7,7
1273,1066,and,3,4,6
1273,1066,Rogers,5,6,5
1274,1068,anti-Semitism,13,13,12
1275,1076,governess,8,8,6
1276,1079,fish,4,4,5
1277,1080,Bible,5,5,5
1278,1080,parody,4,5,5
1279,1080,religion,8,8,7
1280,1081,cross,5,5,5
1280,1081,dressing,7,7,7
1281,1082,politics,8,8,8
1282,1084,1920s,5,5,6
1283,1084,gangsters,7,8,8
1284,1088,dance,3,4,6
1285,1088,music,5,4,6
1286,1089,heist,5,5,5
1287,1089,violence,8,7,7
1288,1090,Vietnam,7,6,6
1289,1093,1960s,5,5,6
1290,1093,Jim,4,5,6
1290,1093,Morrison,7,8,7
1291,1093,music,5,4,6
1292,1096,Holocaust,8,9,9
1293,1097,aliens,6,5,5
1294,1101,Navy,3,4,6
1295,1103,1950s,5,5,6
1296,1103,adolescence,10,10,9
1297,1104,Tennessee,9,7,7
1297,1104,Williams,7,8,8
1298,1124,aging,5,4,6
1299,1125,Clousseau,9,8,8
1300,1135,military,6,7,8
1301,1136,England,6,6,7
1302,1136,King,4,4,6
1302,1136,Arthur,6,6,6
1303,1147,boxing,6,5,6
1304,1147,In,4,4,6
1304,1147,Netflix,7,7,5
1304,1147,queue,5,4,5
1305,1148,Aardman,5,7,6
1306,1171,politics,8,8,8
1307,1177,Italy,4,4,5
1308,1178,court,4,5,6
1309,1178,military,6,7,8
1310,1179,crime,5,5,5
1311,1183,adultery,6,6,7
1312,1185,In,4,4,6
1312,1185,Netflix,7,7,5
1312,1185,queue,5,4,5
1313,1187,disability,8,9,9
1314,1188,Australia,8,8,7
1315,1188,dance,3,4,6
1316,1189,In,4,4,6
1316,1189,Netflix,7,7,5
1316,1189,queue,5,4,5
1317,1189,police,6,6,6
1318,1193,mental,6,5,4
1318,1193,illness,7,6,6
1319,1196,I,4,5,6
1319,1196,am,3,5,6
1319,1196,your,4,5,6
1319,1196,father,5,5,5
1320,1196,space,4,5,6
1321,1196,space,4,5,6
1321,1196,opera,4,5,5
1322,1197,Inigo,5,5,6
1322,1197,Montoya,7,5,7
1323,1197,six-fingered,11,10,9
1323,1197,man,3,4,6
1325,1198,ark,1,5,5
1325,1198,of,4,5,6
1325,1198,the,4,5,5
1325,1198,covenant,7,6,7
1328,1201,spaghetti,8,9,8
1328,1201,western,6,7,5
1329,1203,court,4,5,6
1330,1204,Middle,5,6,5
1330,1204,East,3,5,6
1331,1206,brainwashing,11,10,12
1332,1207,Harper,4,6,5
1332,1207,Lee,4,5,4
1333,1207,racism,5,6,6
1334,1208,Vietnam,7,6,6
1335,1209,spaghetti,8,9,8
1335,1209,western,6,7,5
1336,1210,darth,2,5,5
1336,1210,vader,4,5,5
1337,1210,luke,4,4,5
1337,1210,skywalker,7,9,8
1338,1210,space,4,5,6
1338,1210,opera,4,5,5
1339,1212,ferris,5,5,3
1339,1212,wheel,5,5,4
1340,1212,Venice,6,5,5
1341,1212,zither,6,6,6
1342,1213,Mafia,4,5,6
1343,1214,aliens,6,5,5
1344,1217,samurai,5,6,7
1345,1219,Norman,5,6,5
1345,1219,Bates,4,5,5
1346,1220,Saturday,6,6,7
1346,1220,Night,5,5,6
1346,1220,Live,4,5,5
1348,1222,Vietnam,7,6,6
1349,1223,moon,4,4,6
1350,1224,Shakespeare,9,11,9
1351,1225,Mozart,4,6,6
1352,1225,Salieri,5,7,6
1353,1228,boxing,6,5,6
1354,1230,New,4,5,5
1354,1230,York,2,5,5
1355,1231,NASA,4,5,6
1356,1231,space,4,5,6
1357,1233,submarine,7,7,8
1358,1234,The,4,5,5
1358,1234,Entertainer,10,10,9
1359,1235,May-December,11,12,10
1359,1235,romance,6,6,7
1360,1237,chess,5,5,5
1361,1237,death,3,5,5
1363,1242,Civil,5,5,5
1363,1242,War,2,5,5
1364,1243,Shakespeare,9,11,9
1364,1243,sort,3,5,5
1364,1243,of,4,5,6
1365,1244,black,3,5,6
1365,1244,and,3,4,6
1365,1244,white,5,5,6
1366,1245,Mafia,4,5,6
1367,1246,High,4,5,6
1367,1246,School,6,6,5
1368,1247,Simon,5,5,6
1368,1247,and,3,4,6
1368,1247,Garfunkel,6,6,7
1369,1249,hit,4,5,6
1369,1249,men,4,4,5
1370,1250,POW,4,5,6
1371,1252,incest,6,6,5
1372,1253,aliens,6,5,5
1373,1254,Cold,4,5,5
1374,1257,skiing,6,5,6
1375,1258,Stephen,7,7,6
1375,1258,King,4,4,6
1376,1259,Stephen,7,7,6
1376,1259,King,4,4,6
1377,1260,serial,5,6,3
1377,1260,killer,6,6,6
1378,1262,POW,4,5,6
1379,1263,Vietnam,7,6,6
1380,1266,revenge,7,6,5
1381,1267,assassination,12,12,13
1382,1267,brainwashing,11,10,12
1383,1269,murder,5,5,5
1384,1270,time,4,5,5
1384,1270,travel,5,6,5
1385,1272,World,4,5,4
1385,1272,War,2,5,5
1385,1272,II,4,5,6
1386,1276,prison,6,6,6
1387,1277,In,4,4,6
1387,1277,Netflix,7,7,5
1387,1277,queue,5,4,5
1388,1278,spoof,5,5,6
1389,1280,In,4,4,6
1389,1280,Netflix,7,7,5
1389,1280,queue,5,4,5
1390,1281,Nazis,4,5,6
1391,1282,Disney,6,4,6
1392,1283,gunfight,8,6,8
1393,1284,Hammett,6,7,6
1394,1285,high,4,5,6
1394,1285,school,6,6,5
1395,1288,heavy,4,4,5
1395,1288,metal,5,5,4
1396,1288,mockumentary,10,9,11
1398,1291,archaeology,10,10,9
1399,1291,Holy,4,4,5
1399,1291,Grail,4,5,4
1400,1292,television,10,10,8
1401,1293,India,5,5,6
1402,1296,E.,4,5,6
1402,1296,M.,4,5,6
1402,1296,Forster,6,7,6
1403,1299,Cambodia,7,8,8
1404,1299,Vietnam,7,6,6
1405,1301,Shakespeare,9,11,9
1405,1301,sort,3,5,5
1405,1301,of,4,5,6
1406,1301,space,4,5,6
1407,1302,baseball,7,8,5
1408,1303,India,5,5,6
1409,1304,crime,5,5,5
1410,1307,New,4,5,5
1410,1307,York,2,5,5
1411,1333,birds,4,5,5
1412,1343,remake,5,6,5
1413,1344,lawyer,5,6,6
1414,1345,high,4,5,6
1414,1345,school,6,6,5
1415,1345,prom,4,5,5
1416,1345,Stephen,7,7,6
1416,1345,King,4,4,6
1417,1348,vampires,6,8,7
1418,1350,demons,5,5,5
1419,1353,personals,8,8,6
1419,1353,ads,3,5,6
1420,1354,religion,8,8,7
1421,1356,Borg,3,5,5
1422,1358,ex-con,6,6,6
1423,1361,In,4,4,6
1423,1361,Netflix,7,7,5
1423,1361,queue,5,4,5
1424,1363,religion,8,8,7
1425,1366,Arthur,6,6,6
1425,1366,Miller,6,6,6
1426,1367,dogs,3,5,6
1427,1367,remake,5,6,5
1428,1372,Klingons,8,6,8
1429,1374,Captain,6,7,7
1429,1374,Kirk,2,5,5
1430,1376,whales,5,6,6
1431,1377,superhero,8,8,6
1432,1380,high,4,5,6
1432,1380,school,6,6,5
1433,1381,high,4,5,6
1433,1381,school,6,6,5
1434,1387,Shark,2,5,6
1435,1389,shark,2,5,6
1436,1393,sports,5,6,6
1437,1394,Coen,4,4,5
1437,1394,Brothers,7,8,7
1438,1396,spying,6,5,6
1439,1398,Hemingway,9,7,8
1440,1407,slasher,6,7,7
1441,1407,spoof,5,5,6
1442,1408,Hawkeye,5,6,6
1443,1408,James,4,5,5
1443,1408,Fennimore,8,7,8
1443,1408,Cooper,6,6,6
1444,1411,Shakespeare,9,11,9
1445,1413,Conan,5,4,6
1446,1416,Andrew,5,6,5
1446,1416,Lloyd,5,5,6
1446,1416,Weber,5,5,4
1447,1423,In,4,4,6
1447,1423,Netflix,7,7,5
1447,1423,queue,5,4,5
1448,1423,Vietnam,7,6,6
1449,1441,mental,6,5,4
1449,1441,illness,7,6,6
1450,1446,In,4,4,6
1450,1446,Netflix,7,7,5
1450,1446,queue,5,4,5
1451,1449,mockumentary,10,9,11
1452,1466,Mafia,4,5,6
1453,1474,jungle,6,4,5
1454,1485,lawyer,5,6,6
1455,1496,Tolstoy,7,6,7
1456,1500,hit,4,5,6
1456,1500,men,4,4,5
1457,1500,reunion,7,5,6
1458,1513,reunion,7,5,6
1459,1537,ballroom,6,8,7
1459,1537,dance,3,4,6
1460,1542,In,4,4,6
1460,1542,Netflix,7,7,5
1460,1542,queue,5,4,5
1461,1544,dinosaurs,6,8,9
1462,1545,death,3,5,5
1463,1569,weddings,7,7,7
1464,1573,transplants,10,9,10
1465,1580,aliens,6,5,5
1466,1586,military,6,7,8
1467,1608,president,8,8,7
1468,1610,Tom,4,5,6
1468,1610,Clancy,5,4,6
1469,1617,Police,6,6,6
1471,1635,1970s,5,5,6
1472,1643,England,6,6,7
1473,1643,Queen,5,4,5
1473,1643,Victoria,7,8,8
1474,1645,lawyers,5,7,6
1475,1650,Henry,4,3,5
1475,1650,James,4,5,5
1476,1653,future,5,4,5
1477,1663,military,6,7,8
1478,1672,In,4,4,6
1478,1672,Netflix,7,7,5
1478,1672,queue,5,4,5
1479,1674,Amish,5,5,6
1480,1680,alternate,8,8,7
1480,1680,universe,7,7,7
1481,1682,TV,4,5,6
1482,1683,Henry,4,3,5
1482,1683,James,4,5,5
1483,1711,Savannah,7,6,8
1484,1717,sequel,6,6,4
1485,1717,slasher,6,7,7
1486,1717,spoof,5,5,6
1487,1719,Canada,5,5,6
1488,1719,death,3,5,5
1489,1721,shipwreck,7,9,7
1490,1732,Coen,4,4,5
1490,1732,Brothers,7,8,7
1491,1735,Charles,5,7,6
1491,1735,Dickens,6,6,6
1492,1748,amnesia,7,6,6
1493,1777,1980s,5,5,6
1494,1797,In,4,4,6
1494,1797,Netflix,7,7,5
1494,1797,queue,5,4,5
1495,1810,politics,8,8,8
1496,1834,twist,5,5,6
1496,1834,ending,5,5,6
1497,1836,No,4,5,6
1497,1836,DVD,4,5,6
1497,1836,at,3,5,6
1497,1836,Netflix,7,7,5
1498,1893,In,4,4,6
1498,1893,Netflix,7,7,5
1498,1893,queue,5,4,5
1499,1900,In,4,4,6
1499,1900,Netflix,7,7,5
1499,1900,queue,5,4,5
1500,1902,generation,9,9,8
1500,1902,X,4,5,6
1501,1909,conspiracy,9,8,9
1502,1912,heist,5,5,5
1503,1913,Australia,8,8,7
1504,1917,space,4,5,6
1505,1921,mathematics,10,11,10
1506,1931,ships,5,5,6
1507,1938,alcoholism,10,10,9
1508,1940,anti-Semitism,13,13,12
1509,1940,Judaism,5,6,7
1510,1942,Huey,4,3,5
1510,1942,Long,4,4,6
1511,1942,In,4,4,6
1511,1942,Netflix,7,7,5
1511,1942,queue,5,4,5
1512,1942,Robert,5,6,5
1512,1942,Penn,4,3,5
1512,1942,Warren,4,6,5
1513,1945,boxing,6,5,6
1514,1945,coulda,6,5,6
1514,1945,been,4,4,4
1514,1945,a,3,5,6
1514,1945,contender,8,7,8
1515,1947,Gangs,4,4,6
1516,1950,racism,5,6,6
1517,1951,Dickens,6,6,6
1518,1952,prostitution,12,11,12
1519,1953,drugs,4,5,5
1520,1953,police,6,6,6
1521,1954,boxing,6,5,6
1522,1954,sports,5,6,6
1523,1955,divorce,5,7,7
1524,1957,Olympics,8,8,8
1525,1957,sports,5,6,6
1526,1959,adultery,6,6,7
1527,1959,Africa,5,5,5
1528,1960,China,5,4,6
1529,1961,autism,6,5,6
1530,1962,rasicm,5,6,6
1531,1975,Jason,4,5,6
1532,1976,Jason,4,5,6
1533,1977,Jason,4,5,6
1534,1978,Jason,4,5,6
1535,1979,Jason,4,5,6
1536,1983,halloween,8,9,8
1537,1984,halloween,8,9,8
1538,1994,ghosts,6,6,6
1539,1995,ghosts,6,6,6
1540,1996,ghosts,6,6,6
1541,1997,demons,5,5,5
1542,2006,California,8,8,8
1543,2006,Mexico,6,6,5
1544,2011,time,4,5,5
1544,2011,travel,5,6,5
1545,2019,samurai,5,6,7
1546,2020,adultery,6,6,7
1547,2022,Bible,5,5,5
1548,2022,Katzanzakis,9,10,11
1549,2028,World,4,5,4
1549,2028,War,2,5,5
1549,2028,II,4,5,6
1550,2054,Disney,6,4,6
1551,2058,police,6,6,6
1552,2059,twins,5,4,6
1553,2064,General,6,6,4
1553,2064,Motors,5,6,6
1554,2064,Michigan,8,8,8
1555,2065,In,4,4,6
1555,2065,Netflix,7,7,5
1555,2065,queue,5,4,5
1556,2066,memory,5,5,5
1557,2070,music,5,4,6
1558,2071,AIDs,4,5,6
1559,2071,In,4,4,6
1559,2071,Netflix,7,7,5
1559,2071,queue,5,4,5
1560,2076,sexuality,8,7,7
1561,2076,suburbia,7,7,7
1562,2078,Disney,6,4,6
1563,2080,Disney,6,4,6
1564,2085,Disney,6,4,6
1565,2097,carnival,6,7,6
1566,2097,Ray,3,4,6
1566,2097,Bradbury,6,7,8
1567,2100,mermaid,6,7,5
1568,2108,weather,6,7,6
1568,2108,forecaster,9,9,7
1569,2114,S.E.,4,5,6
1569,2114,Hinton,6,5,6
1570,2115,archaeology,10,10,9
1571,2116,Tolkein,6,7,6
1572,2118,Stephen,7,7,6
1572,2118,King,4,4,6
1573,2121,Stephen,7,7,6
1573,2121,King,4,4,6
1574,2122,Stephen,7,7,6
1574,2122,King,4,4,6
1575,2139,mice,4,5,5
1576,2145,1980s,5,5,6
1577,2145,high,4,5,6
1577,2145,school,6,6,5
1578,2160,demons,5,5,5
1579,2167,vampires,6,8,7
1580,2171,aquarium,6,7,7
1581,2171,Boston,6,6,6
1582,2171,personals,8,8,6
1582,2171,ads,3,5,6
1583,2186,murder,5,5,5
1584,2187,theater,6,7,6
1585,2194,Capone,5,5,6
1586,2194,gangsters,7,8,8
1587,2202,survival,7,7,6
1588,2203,small,4,5,4
1588,2203,towns,5,4,6
1589,2206,paranoia,6,7,7
1590,2208,train,4,5,5
1591,2243,journalism,9,8,8
1592,2247,Mafia,4,5,6
1593,2248,In,4,4,6
1593,2248,Your,4,5,6
1593,2248,Eyes,4,5,5
1594,2248,Lloyd,5,5,6
1594,2248,Dobbler,7,7,6
1595,2249,Mafia,4,5,6
1596,2268,court,4,5,6
1597,2268,military,6,7,8
1598,2291,freaks,5,5,4
1599,2295,Screwball,8,9,5
1600,2300,Broadway,7,7,8
1601,2302,court,4,5,6
1602,2310,adolescence,10,10,9
1603,2312,death,3,5,5
1603,2312,penalty,6,5,5
1604,2313,freaks,5,5,4
1605,2324,Holocaust,8,9,9
1606,2329,racism,5,6,6
1607,2334,terrorism,8,9,7
1608,2335,football,7,7,5
1609,2336,England,6,6,7
1610,2351,In,4,4,6
1610,2351,Netflix,7,7,5
1610,2351,queue,5,4,5
1611,2355,Pixar,4,5,6
1612,2357,South,5,5,6
1612,2357,America,6,7,5
1613,2360,In,4,4,6
1613,2360,Netflix,7,7,5
1613,2360,queue,5,4,5
1614,2390,In,4,4,6
1614,2390,Netflix,7,7,5
1614,2390,queue,5,4,5
1615,2391,heist,5,5,5
1616,2394,Bible,5,5,5
1617,2394,Moses,5,5,5
1618,2396,England,6,6,7
1619,2410,boxing,6,5,6
1620,2411,boxing,6,5,6
1621,2412,boxing,6,5,6
1622,2420,martial,5,7,5
1622,2420,arts,3,5,5
1623,2421,martial,5,7,5
1623,2421,arts,3,5,5
1624,2422,martial,5,7,5
1624,2422,arts,3,5,5
1625,2423,christmas,8,9,8
1626,2424,e-mail,5,6,5
1627,2424,remake,5,6,5
1628,2431,doctors,5,7,7
1629,2442,In,4,4,6
1629,2442,Netflix,7,7,5
1629,2442,queue,5,4,5
1630,2463,kidnapping,8,8,10
1631,2467,religion,8,8,7
1632,2470,Australia,8,8,7
1633,2471,Australia,8,8,7
1634,2491,food,4,4,5
1635,2494,Holocaust,8,9,9
1636,2494,Hungary,5,4,7
1637,2502,stapler,6,7,6
1638,2502,workplace,7,9,7
1639,2506,disability,8,9,9
1640,2517,Stephen,7,7,6
1640,2517,King,4,4,6
1641,2529,twist,5,5,6
1641,2529,ending,5,5,6
1642,2550,ghosts,6,6,6
1643,2553,evil,4,5,4
1643,2553,children,7,8,7
1644,2554,evil,4,5,4
1644,2554,children,7,8,7
1645,2565,Siam,4,5,6
1646,2571,alternate,8,8,7
1646,2571,universe,7,7,7
1647,2572,Shakespeare,9,11,9
1647,2572,sort,3,5,5
1647,2572,of,4,5,6
1649,2581,high,4,5,6
1649,2581,school,6,6,5
1650,2583,southern,7,7,7
1650,2583,US,4,5,6
1651,2598,golfing,7,6,7
1652,2600,virtual,6,7,5
1652,2600,reality,6,6,6
1653,2612,motherhood,9,10,8
1654,2628,prequel,7,7,5
1655,2628,the,4,5,5
1655,2628,Force,4,5,5
1656,2640,superhero,8,8,6
1657,2641,superhero,8,8,6
1658,2642,superhero,8,8,6
1659,2648,In,4,4,6
1659,2648,Netflix,7,7,5
1659,2648,queue,5,4,5
1660,2660,aliens,6,5,5
1661,2664,1950s,5,5,6
1662,2677,In,4,4,6
1662,2677,Netflix,7,7,5
1662,2677,queue,5,4,5
1663,2692,alternate,8,8,7
1663,2692,endings,6,6,7
1664,2693,Star,3,5,6
1664,2693,Trek,3,5,4
1665,2699,spiders,5,7,6
1666,2710,claims,5,6,6
1666,2710,to,4,5,6
1666,2710,be,4,5,5
1666,2710,true,4,5,5
1667,2710,video,5,5,5
1668,2712,sexuality,8,7,7
1669,2716,ghosts,6,6,6
1670,2717,Ghosts,6,6,6
1671,2719,remake,5,6,5
1672,2723,superhero,8,8,6
1673,2726,heist,5,5,5
1674,2728,crucifixion,11,10,10
1675,2728,Rome,4,5,5
1676,2728,slavery,5,6,6
1677,2745,Missionary,8,8,10
1678,2745,Priest,6,6,5
1679,2750,nostalgia,8,9,8
1680,2750,radio,4,5,6
1681,2761,robots,6,6,6
1683,2762,I,4,5,6
1683,2762,see,4,5,4
1683,2762,dead,3,5,5
1683,2762,people,6,6,4
1684,2787,Stephen,7,7,6
1684,2787,King,4,4,6
1685,2791,aviation,7,8,8
1686,2791,spoof,5,5,6
1687,2797,children,7,8,7
1688,2801,gambling,7,7,7
1689,2803,lawyers,5,7,6
1690,2804,Christmas,8,9,8
1691,2827,aliens,6,5,5
1692,2863,Beatles,6,7,5
1693,2871,river,5,5,5
1694,2872,England,6,6,7
1695,2872,King,4,4,6
1695,2872,Arthur,6,6,6
1696,2905,In,4,4,6
1696,2905,Netflix,7,7,5
1696,2905,queue,5,4,5
1697,2915,prostitution,12,11,12
1698,2918,High,4,5,6
1698,2918,School,6,6,5
1699,2919,Academy,6,6,6
1699,2919,award,3,5,6
1699,2919,(Best,5,5,5
1699,2919,Supporting,9,8,9
1699,2919,Actress),7,8,6
1700,2919,Indonesia,8,8,8
1701,2919,journalism,9,8,8
1702,2927,adultery,6,6,7
1703,2935,gambling,7,7,7
1704,2937,screwball,8,9,5
1705,2939,In,4,4,6
1705,2939,Netflix,7,7,5
1705,2939,queue,5,4,5
1706,2940,nightclub,9,9,8
1707,2941,island,5,5,6
1708,2943,Vietnam,7,6,6
1709,2952,gambling,7,7,7
1710,2959,violence,8,7,7
1711,2966,brothers,7,8,7
1712,2966,lawn,3,4,6
1712,2966,mower,5,5,5
1713,2967,evil,4,5,4
1713,2967,children,7,8,7
1714,2968,time,4,5,5
1714,2968,travel,5,6,5
1715,2987,live,4,5,5
1715,2987,action/animation,15,14,16
1716,3000,anime,5,5,6
1717,3006,tobacco,6,7,7
1718,3006,true,4,5,5
1718,3006,story,4,4,6
1719,3007,In,4,4,6
1719,3007,Netflix,7,7,5
1719,3007,queue,5,4,5
1720,3011,dance,3,4,6
1720,3011,marathon,6,8,7
1721,3028,Shakespeare,9,11,9
1722,3030,samurai,5,6,7
1723,3039,class,4,5,6
1724,3040,camp,3,5,6
1725,3044,memory,5,5,5
1726,3044,music,5,4,6
1727,3052,religion,8,8,7
1728,3060,In,4,4,6
1728,3060,Netflix,7,7,5
1728,3060,queue,5,4,5
1729,3071,high,4,5,6
1729,3071,school,6,6,5
1730,3072,New,4,5,5
1730,3072,York,2,5,5
1731,3077,In,4,4,6
1731,3077,Netflix,7,7,5
1731,3077,queue,5,4,5
1732,3077,Up,4,5,6
1732,3077,series,5,6,4
1733,3081,Ichabod,6,7,7
1733,3081,Crane,4,4,5
1734,3087,christmas,8,9,8
1735,3087,new,4,4,5
1735,3087,york,2,5,5
1736,3095,depression,8,10,7
1737,3095,dust,3,4,6
1737,3095,bowl,4,5,5
1738,3097,remade,5,6,5
1739,3098,baseball,7,8,5
1740,3098,sports,5,6,6
1741,3101,adultery,6,6,7
1742,3108,homeless,8,8,6
1743,3111,racism,5,6,6
1745,3115,men,4,4,5
1745,3115,in,4,4,6
1745,3115,drag,3,5,5
1746,3125,Graham,5,6,6
1746,3125,Greene,6,5,5
1747,3135,fatherhood,8,9,7
1748,3147,Stephen,7,7,6
1748,3147,King,4,4,6
1749,3152,black-and-white,13,14,15
1750,3160,L.A.,4,5,6
1751,3174,Andy,4,3,6
1751,3174,Kaufman,6,6,7
1752,3175,spoof,5,5,6
1753,3176,Europe,5,5,5
1755,3178,boxing,6,5,6
1756,3181,Shakespeare,9,11,9
1757,3192,In,4,4,6
1757,3192,Netflix,7,7,5
1757,3192,queue,5,4,5
1758,3210,high,4,5,6
1758,3210,school,6,6,5
1759,3211,a,3,5,6
1759,3211,dingo,4,4,6
1759,3211,ate,3,5,5
1759,3211,my,4,4,6
1759,3211,baby,3,4,6
1760,3211,Australia,8,8,7
1761,3247,nuns,4,3,6
1762,3250,In,4,4,6
1762,3250,Netflix,7,7,5
1762,3250,queue,5,4,5
1763,3258,plastic,6,7,7
1763,3258,surgery,6,5,5
1764,3259,Ireland,6,6,5
1765,3260,E.M.,4,5,6
1765,3260,Forster,6,7,6
1766,3263,basketball,8,10,7
1767,3270,figure,5,5,5
1767,3270,skating,6,6,7
1768,3273,slasher,6,7,7
1769,3273,spoof,5,5,6
1770,3281,sexuality,8,7,7
1771,3306,big,4,5,6
1771,3306,top,4,5,6
1772,3306,circus,5,6,5
1773,3307,blind,5,4,6
1774,3310,orphans,6,6,7
1775,3317,writing,7,6,7
1776,3330,adolescence,10,10,9
1777,3330,sexuality,8,7,7
1778,3338,In,4,4,6
1778,3338,Netflix,7,7,5
1778,3338,queue,5,4,5
1779,3341,remade,5,6,5
1780,3360,basketball,8,10,7
1781,3384,subway,6,4,6
1782,3385,Peace,4,5,5
1782,3385,Corp,3,5,5
1783,3386,politics,8,8,8
1784,3386,president,8,8,7
1785,3408,scandal,6,6,6
1786,3408,true,4,5,5
1786,3408,story,4,4,6
1787,3420,lawyers,5,7,6
1788,3421,college,7,7,6
1789,3421,TOGA,4,5,6
1790,3424,racism,5,6,6
1791,3429,aardman,5,7,6
1792,3435,Insurance,8,7,8
1793,3447,Pearl,3,5,4
1793,3447,S,4,5,6
1793,3447,Buck,3,4,6
1794,3451,Hepburn,6,6,6
1794,3451,and,3,4,6
1794,3451,Tracy,4,4,5
1795,3451,interracial,10,11,8
1795,3451,marriage,6,8,7
1796,3451,prejudice,8,8,8
1797,3451,racism,5,6,6
1798,3456,In,4,4,6
1798,3456,Netflix,7,7,5
1798,3456,queue,5,4,5
1799,3461,island,5,5,6
1800,3462,factory,5,5,6
1801,3468,pool,4,5,5
1802,3469,court,4,5,6
1803,3469,evolution,9,8,8
1804,3469,religion,8,8,7
1805,3475,class,4,5,6
1806,3481,Nick,3,5,6
1806,3481,Hornby,5,4,5
1807,3489,Peter,5,5,4
1807,3489,Pan,3,4,6
1808,3498,In,4,4,6
1808,3498,Netflix,7,7,5
1808,3498,queue,5,4,5
1809,3502,death,3,5,5
1810,3504,journalism,9,8,8
1811,3507,In,4,4,6
1811,3507,Netflix,7,7,5
1811,3507,queue,5,4,5
1812,3512,transplants,10,9,10
1813,3515,alternate,8,8,7
1813,3515,endings,6,6,7
1814,3526,families,7,7,6
1815,3528,psychiatrist,10,12,11
1816,3536,priest,6,6,5
1817,3536,rabbi,4,5,6
1818,3546,show,4,5,6
1818,3546,business,8,6,7
1819,3548,1920s,5,5,6
1820,3549,Gambling,7,7,7
1821,3552,golf,4,5,5
1822,3556,1970s,5,5,6
1823,3556,suicide,7,6,7
1824,3559,In,4,4,6
1824,3559,Netflix,7,7,5
1824,3559,queue,5,4,5
1825,3566,business,8,6,7
1826,3566,religion,8,8,7
1827,3608,Pee,4,5,4
1827,3608,Wee,4,5,4
1827,3608,Herman,5,6,4
1828,3629,mining,6,4,6
1829,3675,Christmas,8,9,8
1830,3676,In,4,4,6
1830,3676,Netflix,7,7,5
1830,3676,queue,5,4,5
1831,3683,Coen,4,4,5
1831,3683,Brothers,7,8,7
1832,3712,television,10,10,8
1833,3723,Shakespeare,9,11,9
1834,3724,Vietnam,7,6,6
1835,3730,spying,6,5,6
1836,3735,police,6,6,6
1838,3801,court,4,5,6
1839,3811,court,4,5,6
1840,3816,missing,7,6,7
1840,3816,children,7,8,7
1841,3844,diabetes,6,8,7
1842,3849,disability,8,9,9
1843,3859,In,4,4,6
1843,3859,Netflix,7,7,5
1843,3859,queue,5,4,5
1844,3859,televangelist,12,12,10
1845,3877,superhero,8,8,6
1846,3897,journalism,9,8,8
1848,3897,Rolling,7,6,7
1848,3897,Stone,5,4,6
1849,3910,blindness,8,7,8
1850,3910,factory,5,5,6
1851,3911,Dogs,4,5,6
1852,3932,invisibility,12,11,11
1853,3949,drug,3,5,5
1853,3949,abuse,5,5,6
1854,3951,In,4,4,6
1854,3951,Netflix,7,7,5
1854,3951,queue,5,4,5
1855,3967,ballet,5,6,6
1856,3983,family,5,4,4
1857,3988,Dr.,3,5,5
1857,3988,Seuss,5,5,5
1858,3994,superhero,8,8,6
1859,3996,china,5,4,6
1860,3996,martial,5,7,5
1860,3996,arts,3,5,5
1861,4007,business,8,6,7
1862,4012,stand-up,7,7,8
1862,4012,comedy,6,5,5
1863,4019,writing,7,6,7
1864,4024,Edith,4,5,6
1864,4024,Wharton,5,7,6
1865,4025,pageant,6,6,6
1866,4027,bluegrass,8,8,7
1867,4029,movies,6,6,6
1868,4034,based,4,5,5
1868,4034,on,4,4,6
1868,4034,a,3,5,6
1868,4034,TV,4,5,6
1868,4034,show,4,5,6
1869,4046,Quakers,5,6,6
